													Lambda                                            	Stroke/Bore                                       	Volumetric coefficient                            	Compression ratio                                 	norm. TKE                                         	SA                                                	Water inj.                                        	EIVC                                              	Torque [Nm]                                       	Temp in Turbo [K]                                 	In cylinder max Pressure [bar]                    	BSFC [g/kwH]                                      	Knock mass [mg]                                   	Max compressor pressure [bar]                     	BMEP [bar]                                        
Lambda                                            	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               	nan                                               
Stroke/Bore                                       	nan                                               	1.000                                             	-0.614                                            	0.734                                             	0.544                                             	-0.026                                            	0.006                                             	0.502                                             	-0.691                                            	-0.634                                            	0.669                                             	-0.366                                            	0.281                                             	0.310                                             	-0.218                                            
Volumetric coefficient                            	nan                                               	-0.614                                            	1.000                                             	-0.814                                            	-0.631                                            	-0.151                                            	-0.073                                            	-0.624                                            	0.920                                             	0.756                                             	-0.681                                            	0.170                                             	-0.002                                            	-0.173                                            	0.648                                             
Compression ratio                                 	nan                                               	0.734                                             	-0.814                                            	1.000                                             	0.769                                             	0.105                                             	0.015                                             	0.701                                             	-0.943                                            	-0.912                                            	0.882                                             	-0.306                                            	0.300                                             	0.430                                             	-0.411                                            
norm. TKE                                         	nan                                               	0.544                                             	-0.631                                            	0.769                                             	1.000                                             	0.036                                             	0.135                                             	0.621                                             	-0.703                                            	-0.720                                            	0.742                                             	-0.297                                            	0.142                                             	0.454                                             	-0.267                                            
SA                                                	nan                                               	-0.026                                            	-0.151                                            	0.105                                             	0.036                                             	1.000                                             	0.435                                             	0.579                                             	-0.080                                            	-0.446                                            	0.458                                             	0.062                                             	0.376                                             	0.241                                             	-0.174                                            
Water inj.                                        	nan                                               	0.006                                             	-0.073                                            	0.015                                             	0.135                                             	0.435                                             	1.000                                             	0.365                                             	0.040                                             	-0.106                                            	0.160                                             	-0.214                                            	0.302                                             	0.362                                             	0.212                                             
EIVC                                              	nan                                               	0.502                                             	-0.624                                            	0.701                                             	0.621                                             	0.579                                             	0.365                                             	1.000                                             	-0.610                                            	-0.757                                            	0.872                                             	-0.457                                            	0.435                                             	0.672                                             	-0.143                                            
Torque [Nm]                                       	nan                                               	-0.691                                            	0.920                                             	-0.943                                            	-0.703                                            	-0.080                                            	0.040                                             	-0.610                                            	1.000                                             	0.867                                             	-0.760                                            	0.099                                             	-0.066                                            	-0.249                                            	0.647                                             
Temp in Turbo [K]                                 	nan                                               	-0.634                                            	0.756                                             	-0.912                                            	-0.720                                            	-0.446                                            	-0.106                                            	-0.757                                            	0.867                                             	1.000                                             	-0.940                                            	0.177                                             	-0.396                                            	-0.392                                            	0.468                                             
In cylinder max Pressure [bar]                    	nan                                               	0.669                                             	-0.681                                            	0.882                                             	0.742                                             	0.458                                             	0.160                                             	0.872                                             	-0.760                                            	-0.940                                            	1.000                                             	-0.435                                            	0.547                                             	0.582                                             	-0.212                                            
BSFC [g/kwH]                                      	nan                                               	-0.366                                            	0.170                                             	-0.306                                            	-0.297                                            	0.062                                             	-0.214                                            	-0.457                                            	0.099                                             	0.177                                             	-0.435                                            	1.000                                             	-0.644                                            	-0.479                                            	-0.580                                            
Knock mass [mg]                                   	nan                                               	0.281                                             	-0.002                                            	0.300                                             	0.142                                             	0.376                                             	0.302                                             	0.435                                             	-0.066                                            	-0.396                                            	0.547                                             	-0.644                                            	1.000                                             	0.478                                             	0.485                                             
Max compressor pressure [bar]                     	nan                                               	0.310                                             	-0.173                                            	0.430                                             	0.454                                             	0.241                                             	0.362                                             	0.672                                             	-0.249                                            	-0.392                                            	0.582                                             	-0.479                                            	0.478                                             	1.000                                             	0.331                                             
BMEP [bar]                                        	nan                                               	-0.218                                            	0.648                                             	-0.411                                            	-0.267                                            	-0.174                                            	0.212                                             	-0.143                                            	0.647                                             	0.468                                             	-0.212                                            	-0.580                                            	0.485                                             	0.331                                             	1.000                                             
